Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,n_estimators,lr,depth,n_d_n_a,epochs,max_depth,min_samples_split
XGBoost,0.727466288,0.5292072,0.727466288,0.612697572,0.5,50.0,0.01,3.0,,,,
XGBoost,0.7523066,0.778130237,0.7523066,0.673885528,0.551272866,50.0,0.01,5.0,,,,
XGBoost,0.753016324,0.779309589,0.753016324,0.675280115,0.552574949,50.0,0.01,7.0,,,,
XGBoost,0.782114975,0.767692968,0.782114975,0.767506449,0.675174035,50.0,0.05,3.0,,,,
XGBoost,0.792760823,0.782357642,0.792760823,0.784360177,0.705290904,50.0,0.05,5.0,,,,
XGBoost,0.784244145,0.773587991,0.784244145,0.776252687,0.696994411,50.0,0.05,7.0,,,,
XGBoost,0.791341377,0.78207544,0.791341377,0.784556101,0.709200965,50.0,0.1,3.0,,,,
XGBoost,0.786373314,0.778457943,0.786373314,0.781147602,0.709043445,50.0,0.1,5.0,,,,
XGBoost,0.784244145,0.776593742,0.784244145,0.779300276,0.70758003,50.0,0.1,7.0,,,,
XGBoost,0.757274663,0.769421898,0.757274663,0.688637242,0.56527312,100.0,0.01,3.0,,,,
XGBoost,0.784244145,0.773329395,0.784244145,0.755848108,0.646509146,100.0,0.01,5.0,,,,
XGBoost,0.780695529,0.772158582,0.780695529,0.746586437,0.632670224,100.0,0.01,7.0,,,,
XGBoost,0.7920511,0.782741357,0.7920511,0.785173199,0.70968877,100.0,0.05,3.0,,,,
XGBoost,0.78992193,0.781399195,0.78992193,0.784007209,0.710668191,100.0,0.05,5.0,,,,
XGBoost,0.782824698,0.775633061,0.782824698,0.778289498,0.707418699,100.0,0.05,7.0,,,,
XGBoost,0.792760823,0.784210659,0.792760823,0.786702949,0.713433689,100.0,0.1,3.0,,,,
XGBoost,0.785663591,0.778343265,0.785663591,0.780970938,0.710184197,100.0,0.1,5.0,,,,
XGBoost,0.782114975,0.775302143,0.782114975,0.777891745,0.707745173,100.0,0.1,7.0,,,,
XGBoost,0.783534422,0.771878135,0.783534422,0.755682196,0.64683562,150.0,0.01,3.0,,,,
XGBoost,0.788502484,0.775034257,0.788502484,0.77103959,0.674678608,150.0,0.01,5.0,,,,
XGBoost,0.78992193,0.776853476,0.78992193,0.775389016,0.683797002,150.0,0.01,7.0,,,,
XGBoost,0.793470546,0.785072784,0.793470546,0.787544824,0.714735772,150.0,0.05,3.0,,,,
XGBoost,0.787792761,0.779956137,0.787792761,0.78260177,0.710833333,150.0,0.05,5.0,,,,
XGBoost,0.784953868,0.779092428,0.784953868,0.781417779,0.713767785,150.0,0.05,7.0,,,,
